fafb_cell_type,fafb_n,fafb_entropy,fafb_dominant_nt,mcns_match,match_method,mcns_n,mcns_majority_nt,mcns_majority_frac
ORN_VM5d,67,0.111909908701684,ACH,ORN_VM5d,exact,82,ACH,1.0
ORN_VM4,70,0.1080231952636283,ACH,ORN_VM4,exact,50,ACH,1.0
TmY5a,1151,0.0993154929733503,GLUT,TmY5a,exact,1364,GLUT,1.0
Tm31,107,0.0764242930955477,GABA,Tm31,exact,120,GLUT,1.0
L5,1427,0.0728488946009994,ACH,L5,exact,1769,ACH,1.0
Tm37,229,0.0722758116120631,ACH,Tm37,exact,558,GLUT,1.0
Dm10,479,0.0696495721898393,GABA,Dm10,exact,610,GABA,1.0
T4a,1375,0.0693870830624957,ACH,T4a,exact,1597,ACH,1.0
Tm36,278,0.0615570796631668,ACH,Tm36,exact,155,ACH,1.0
T5a,1393,0.0564936564751057,ACH,T5a,exact,1575,ACH,1.0
T5c,1459,0.0520524255222436,ACH,T5c,exact,1639,ACH,1.0
Dm9,179,0.0498462202138721,ACH,Dm9,exact,264,GLUT,0.9962121212121212
C3,1502,0.0401765858855493,GABA,C3,exact,1777,GABA,1.0
LC10a,232,0.0400756995796872,ACH,LC10a,exact,275,ACH,1.0
MeTu1,242,0.0386717908637649,ACH,MeTu1,exact,249,ACH,1.0
T4b,1427,0.0300790999177059,ACH,T4b,exact,1598,ACH,1.0
L3,1379,0.0243738898315388,ACH,L3,exact,1744,ACH,1.0
T5b,1414,0.0238473760719591,ACH,T5b,exact,1625,ACH,1.0
TmY4,430,0.0236958349678206,ACH,TmY4,exact,559,ACH,1.0
Tm20,1459,0.0232048833878691,ACH,Tm20,exact,1698,ACH,1.0
TmY10,446,0.0229640725550059,ACH,TmY10,exact,552,ACH,1.0
Mi1,1487,0.0209706762303368,ACH,Mi1,exact,1773,ACH,1.0
TmY3,726,0.0150764831002062,ACH,TmY3,exact,824,ACH,1.0
Tm9,1518,0.0145055340008581,ACH,Tm9,exact,1447,ACH,1.0
Mi4,1526,0.0144394344231132,GABA,Mi4,exact,1770,GABA,1.0
PAM12,23,-0.0,DA,PAM12,exact,22,DA,1.0
LC10b,83,-0.0,ACH,LC10b,exact,95,ACH,1.0
LC27,37,-0.0,ACH,LC27,exact,46,ACH,1.0
PEG,20,-0.0,ACH,PEG,exact,18,ACH,1.0
ORN_DC2,20,-0.0,ACH,ORN_DC2,exact,22,ACH,1.0
LC29,43,-0.0,ACH,LC29,exact,40,ACH,1.0
LC22,89,-0.0,ACH,LC22,exact,73,ACH,1.0
ORN_D,31,-0.0,ACH,ORN_D,exact,28,ACH,1.0
PAM08,43,-0.0,DA,PAM08,exact,50,DA,1.0
LC20a,37,-0.0,ACH,LC20a,exact,62,ACH,1.0
LC14b,38,-0.0,ACH,LC14b,exact,43,ACH,1.0
Mi10,405,-0.0,ACH,Mi10,exact,444,ACH,1.0
LPLC4,110,-0.0,ACH,LPLC4,exact,97,ACH,1.0
LC18,188,-0.0,ACH,LC18,exact,208,ACH,1.0
LC15,104,-0.0,ACH,LC15,exact,126,ACH,1.0
LC17,201,-0.0,ACH,LC17,exact,353,ACH,1.0
LC21,130,-0.0,ACH,LC21,exact,153,ACH,1.0
PVLP004,29,-0.0,GLUT,PVLP004,exact,16,GLUT,1.0
SMP018,21,-0.0,ACH,SMP018,exact,21,ACH,1.0
PVLP133,25,-0.0,ACH,PVLP133,exact,24,ACH,1.0
Pm11,33,-0.0,GABA,Pm11,exact,4,GABA,1.0
Pm10,46,-0.0,GABA,Pm10,exact,74,GABA,1.0
PEN_a/PEN1,20,-0.0,ACH,PEN_a/PEN1,exact,20,ACH,1.0
PEN_b/PEN2,20,-0.0,ACH,PEN_b/PEN2,exact,22,ACH,1.0
LPLC2,208,-0.0,ACH,LPLC2,exact,185,ACH,1.0
PFNa,54,-0.0,ACH,PFNa,exact,58,ACH,1.0
PFNd,39,-0.0,ACH,PFNd,exact,40,ACH,1.0
LC10d,188,-0.0,ACH,LC10d,exact,214,ACH,1.0
PFNv,21,-0.0,ACH,PFNv,exact,20,ACH,1.0
PLP115_b,22,-0.0,ACH,PLP115_b,exact,16,ACH,1.0
ORN_VM7v,26,-0.0,ACH,ORN_VM7v,exact,25,ACH,1.0
PAM01,28,-0.0,DA,PAM01,exact,44,DA,1.0
PAM04,23,-0.0,DA,PAM04,exact,32,DA,1.0
PAM05,20,-0.0,DA,PAM05,exact,20,DA,1.0
PAM06,30,-0.0,DA,PAM06,exact,28,DA,1.0
PFL3,24,-0.0,ACH,PFL3,exact,24,ACH,1.0
KCg-d,295,-0.0,ACH,KCg-d,exact,206,DA,0.9951456310679612
WED057,21,-0.0,GABA,WED057,exact,18,GABA,1.0
LT51,22,-0.0,GLUT,LT51,exact,22,GLUT,1.0
LT52,29,-0.0,GLUT,LT52,exact,34,GLUT,1.0
TuBu08,22,-0.0,ACH,TuBu08,exact,21,ACH,1.0
Tm35,118,-0.0,GLUT,Tm35,exact,86,GLUT,1.0
Tm4,1488,-0.0,ACH,Tm4,exact,1670,ACH,1.0
Tm5a,451,-0.0,ACH,Tm5a,exact,605,ACH,1.0
FC1D,29,-0.0,ACH,FC1D,exact,25,ACH,1.0
Tm3,1743,-0.0,ACH,Tm3,exact,2052,ACH,1.0
Tm34,71,-0.0,GLUT,Tm34,exact,174,GLUT,1.0
hDeltaK,26,-0.0,SER,hDeltaK,exact,31,SER,1.0
ER3a_a,23,-0.0,GABA,ER3a_a,exact,15,GABA,1.0
ER4d,24,-0.0,GABA,ER4d,exact,26,GABA,1.0
ER5,21,-0.0,GABA,ER5,exact,21,GABA,1.0
FC1A,36,-0.0,ACH,FC1A,exact,17,ACH,1.0
Tm5b,456,-0.0,ACH,Tm5b,exact,515,ACH,1.0
LC10e,101,-0.0,ACH,LC10e,exact,107,ACH,1.0
LC11,127,-0.0,ACH,LC11,exact,143,ACH,1.0
LC13,145,-0.0,ACH,LC13,exact,177,ACH,1.0
KCg-m,2189,-0.0,ACH,KCg-m,exact,1342,DA,1.0
L2,1562,-0.0,ACH,L2,exact,1778,ACH,1.0
LPLC1,140,-0.0,ACH,LPLC1,exact,134,ACH,1.0
TmY15,254,-0.0,GABA,TmY15,exact,209,GABA,1.0
TmY20,282,-0.0,ACH,TmY20,exact,343,ACH,1.0
EPG,47,-0.0,ACH,EPG,exact,46,ACH,1.0
Tm1,1553,-0.0,ACH,Tm1,exact,1777,ACH,1.0
Tm16,343,-0.0,ACH,Tm16,exact,396,ACH,1.0
Tm2,1548,-0.0,ACH,Tm2,exact,1766,ACH,1.0
Dm13,49,-0.0,GABA,Dm13,exact,53,GABA,1.0
Dm18,48,-0.0,GABA,Dm18,exact,57,GABA,1.0
Dm2,1218,-0.0,ACH,Dm2,exact,1400,ACH,1.0
FS2,33,-0.0,ACH,FS2,exact,42,ACH,1.0
T3,1673,-0.0,ACH,T3,exact,1914,ACH,1.0
T4c,1605,-0.0,ACH,T4c,exact,1640,ACH,1.0
T2,1456,-0.0,ACH,T2,exact,1627,ACH,1.0
TuBu03,26,-0.0,ACH,TuBu03,exact,23,ACH,1.0
ORN_DL3,68,-0.0,SER,ORN_DL3,exact,45,ACH,1.0
Li17,89,-0.0,GABA,Li17,exact,22,GABA,1.0
Li16,36,-0.0,GABA,Li16,exact,4,GLUT,1.0
Li15,32,-0.0,GABA,Li15,exact,41,GABA,1.0
Li14,26,-0.0,GABA,Li14,exact,217,GLUT,1.0
MeTu3a,40,-0.0,ACH,MeTu3a,exact,38,ACH,1.0
MeTu2a,70,-0.0,ACH,MeTu2a,exact,69,ACH,1.0
CB1078,25,-0.0,ACH,CB1078,exact,8,ACH,1.0
BM_vOcci_vPoOr,39,-0.0,ACH,BM_vOcci_vPoOr,exact,21,ACH,1.0
BM_Vib,36,-0.0,ACH,BM_Vib,exact,22,ACH,1.0
BM_Taste,66,-0.0,ACH,BM_Taste,exact,40,ACH,1.0
BM_MaPa,23,-0.0,ACH,BM_MaPa,exact,13,ACH,1.0
T2a,1753,-0.0,ACH,T2a,exact,1865,ACH,1.0
hDeltaC,20,-0.0,ACH,hDeltaC,exact,20,ACH,1.0
aPhM1,23,-0.0,ACH,aPhM1,exact,21,ACH,1.0
Y3,602,-0.0,ACH,Y3,exact,627,ACH,1.0
KCab-p,128,-0.0,ACH,KCab-p,exact,129,DA,1.0
vDeltaK,39,-0.0,ACH,vDeltaK,exact,30,ACH,1.0
vDeltaD,22,-0.0,ACH,vDeltaD,exact,21,ACH,1.0
Y11,128,-0.0,GLUT,Y11,exact,151,GLUT,1.0
CB1964,21,-0.0,ACH,CB1964,exact,18,ACH,1.0
IbSpsP,30,-0.0,ACH,IbSpsP,exact,31,ACH,1.0
HRN_VP4,29,-0.0,ACH,HRN_VP4,exact,26,ACH,1.0
FS4C,25,-0.0,ACH,FS4C,exact,28,ACH,1.0
FS4B,25,-0.0,ACH,FS4B,exact,23,ACH,0.9130434782608695
Delta7,40,-0.0,GLUT,Delta7,exact,42,GLUT,1.0
CB2517,26,-0.0,GLUT,CB2517,exact,3,GLUT,1.0
ORN_VM7d,33,-0.0,ACH,ORN_VM7d,exact,36,ACH,1.0
ORN_VM6v,26,-0.0,ACH,ORN_VM6v,exact,30,ACH,1.0
ORN_VM5v,23,-0.0,ACH,ORN_VM5v,exact,34,ACH,1.0
ORN_VM1,25,-0.0,ACH,ORN_VM1,exact,31,ACH,1.0
ORN_VL2p,27,-0.0,ACH,ORN_VL2p,exact,41,ACH,1.0
ORN_VL2a,71,-0.0,ACH,ORN_VL2a,exact,80,ACH,1.0
ORN_VC5,25,-0.0,ACH,ORN_VC5,exact,31,ACH,1.0
LC31a,35,-0.0,ACH,LC31a,exact,32,ACH,1.0
MeTu4d,33,-0.0,ACH,MeTu4d,exact,40,ACH,1.0
MeTu4c,93,-0.0,ACH,MeTu4c,exact,87,ACH,1.0
MeTu4b,21,-0.0,ACH,MeTu4b,exact,31,ACH,1.0
MeTu4a,126,-0.0,ACH,MeTu4a,exact,95,ACH,1.0
MeTu3c,137,-0.0,ACH,MeTu3c,exact,174,ACH,1.0
MeTu3b,96,-0.0,ACH,MeTu3b,exact,83,ACH,1.0
ORN_VC4,23,-0.0,ACH,ORN_VC4,exact,36,ACH,1.0
LPC2,111,-0.0,ACH,LPC2,exact,154,ACH,1.0
ORN_DM6,44,-0.0,ACH,ORN_DM6,exact,52,ACH,1.0
ORN_DM4,29,-0.0,ACH,ORN_DM4,exact,31,ACH,1.0
ORN_DL5,40,-0.0,ACH,ORN_DL5,exact,42,ACH,1.0
ORN_DL4,41,-0.0,SER,ORN_DL4,exact,23,ACH,1.0
Y12,196,-0.0,GLUT,Y12,exact,186,GLUT,1.0
ORN_DL1,67,-0.0,ACH,ORN_DL1,exact,79,ACH,0.9873417721518988
ORN_DP1l,24,-0.0,ACH,ORN_DP1l,exact,33,ACH,1.0
ORN_DC3,32,-0.0,ACH,ORN_DC3,exact,34,ACH,1.0
ORN_VC3,31,-0.0,ACH,ORN_VC3,exact,30,ACH,1.0
ORN_VC1,26,-0.0,ACH,ORN_VC1,exact,29,ACH,1.0
ORN_VA7m,21,-0.0,ACH,ORN_VA7m,exact,21,ACH,1.0
ORN_VA6,60,-0.0,ACH,ORN_VA6,exact,62,ACH,1.0
ORN_VA4,31,-0.0,ACH,ORN_VA4,exact,33,ACH,1.0
ORN_VA3,29,-0.0,ACH,ORN_VA3,exact,30,ACH,1.0
ORN_DP1m,32,-0.0,ACH,ORN_DP1m,exact,31,ACH,1.0
ORN_DC4,22,-0.0,ACH,ORN_DC4,exact,23,ACH,1.0
Li13,67,-0.0,GABA,Li13,exact,65,GABA,1.0
Li12,42,-0.0,GLUT,Li12,exact,4,GLUT,1.0
