root_id,nt_label,partner_Dm9,partner_Mi4,partner_R7,partner_Tm20,partner_Mi15,partner_Mi1,partner_Dm2,partner_L1,partner_Mi9,partner_Tm5c,partner_MLt1,partner_aMe12,partner_L3,partner_DmDRA2,partner_Dm11,partner_Tm5b,partner_MTe50,partner_Dm8a,partner_aMe5,partner_Dm8b,partner_MeLp1,partner_Tm9,partner_R8,partner_C2,partner_Dm4,partner_Mi10,partner_TmY9q,partner_Dm12,partner_Tm5e,partner_L2
720575940605519328,ACH,0.24260355029585798,0.23668639053254437,0.16568047337278108,0.05917159763313609,0.03550295857988166,0.0650887573964497,0.09467455621301775,0.07100591715976332,0.0,0.029585798816568046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940606182246,GABA,0.3670886075949367,0.17088607594936708,0.12025316455696203,0.056962025316455694,0.0,0.06329113924050633,0.0379746835443038,0.06329113924050633,0.03164556962025317,0.0,0.05063291139240506,0.0,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940606387046,ACH,0.17333333333333334,0.23333333333333334,0.22666666666666666,0.0,0.0,0.09333333333333334,0.08666666666666667,0.04666666666666667,0.04,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940606399678,GLUT,0.32558139534883723,0.08837209302325581,0.18604651162790697,0.05581395348837209,0.12558139534883722,0.03255813953488372,0.0,0.03255813953488372,0.0,0.13023255813953488,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940606506016,GABA,0.0,0.14473684210526316,0.08552631578947369,0.09210526315789473,0.14473684210526316,0.05263157894736842,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.046052631578947366,0.08552631578947369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03289473684210526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940606554912,GLUT,0.0,0.18012422360248448,0.15527950310559005,0.13043478260869565,0.037267080745341616,0.062111801242236024,0.11180124223602485,0.06832298136645963,0.09937888198757763,0.031055900621118012,0.049689440993788817,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031055900621118012
720575940606690238,ACH,0.0,0.19875776397515527,0.14285714285714285,0.11801242236024845,0.10559006211180125,0.09937888198757763,0.09316770186335403,0.062111801242236024,0.043478260869565216,0.055900621118012424,0.08074534161490683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940606744766,ACH,0.04,0.232,0.168,0.056,0.0,0.12,0.096,0.088,0.056,0.048,0.048,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940607039529,ACH,0.1111111111111111,0.12698412698412698,0.07936507936507936,0.07936507936507936,0.0,0.1111111111111111,0.1111111111111111,0.19047619047619047,0.0,0.0,0.1111111111111111,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940607830217,ACH,0.06140350877192982,0.16666666666666666,0.15789473684210525,0.16666666666666666,0.17543859649122806,0.06140350877192982,0.0,0.07017543859649122,0.0,0.08771929824561403,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
