cell_type,n_neurons,entropy,dominant_nt,dominant_frac,p_ACH,p_GABA,p_GLUT,p_DA,p_SER,p_OCT,p_fast_transmitters,is_seed,already_name_matched,literature_confirmed,entropy_z,js_histamine_blindspot,js_ORN_SER_confusion,js_Dm_GLUT_confusion,best_pattern_heuristic,best_js_heuristic,pattern_threshold_heuristic,in_neighborhood_heuristic,best_pattern_calibrated,best_js_calibrated,best_p_calibrated,best_q_calibrated,significant,q_Dm_GLUT_confusion,q_ORN_SER_confusion,q_histamine_blindspot,p_Dm_GLUT_confusion,p_ORN_SER_confusion,p_histamine_blindspot,matched_patterns,entropy_p_value,entropy_z_reconstructed,entropy_q_value,entropy_channel_significant,best_pattern,best_js,in_neighborhood,is_novel_candidate,gt_verified_nt,gt_agrees_with_pattern
MTe04,30,0.6500224216483541,ACH,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,False,False,False,-2.0737349234285185,0.018166017787131575,0.3837209741737022,0.752041902319692,histamine_blindspot,0.018166017787131575,0.24906688471870347,True,histamine_blindspot,0.018166017787131575,0.0192056161030566,0.9380801404398125,True,0.9780379822510362,0.9999999531006136,0.9380801404398125,0.9641151424168349,0.9998341778077314,0.0192056161030566,histamine_blindspot,0.975301234938253,-1.9925317119614567,1.0,False,histamine_blindspot,0.018166017787131575,True,True,,
Mi15,697,0.536388541555014,ACH,0.8852223816355811,0.8852223816355811,0.0014347202295552368,0.11190817790530846,0.0,0.0014347202295552368,0.0,0.9985652797704448,False,False,False,-12.802433231443407,0.01430162644918561,0.3554566687388273,0.7985693010339217,histamine_blindspot,0.01430162644918561,0.24906688471870347,True,histamine_blindspot,0.01430162644918561,0.0192056161030566,0.9380801404398125,True,0.9780379822510362,0.9999999531006136,0.9380801404398125,0.9641151424168349,0.9998341778077314,0.0192056161030566,histamine_blindspot,1.0,-13.214714843903884,1.0,False,histamine_blindspot,0.01430162644918561,True,True,"ACH,DA",False
ORN_DM5,24,1.0,ACH,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,False,False,False,-0.2782048337836914,0.3173146787754337,0.003083453632639479,0.9999999999971145,ORN_SER_confusion,0.003083453632639479,0.12,True,ORN_SER_confusion,0.003083453632639479,0.03426059125111769,0.9999999531006136,True,0.9780379822510362,0.9999999531006136,0.9380801404398125,0.9406801333829312,0.03426059125111769,0.9251730412514942,ORN_SER_confusion,0.6587170641467927,-0.3203616576379906,1.0,False,ORN_SER_confusion,0.003083453632639479,True,True,ACH,True
Dm16,59,0.9646900825612558,GABA,0.6101694915254238,0.0,0.6101694915254238,0.3898305084745763,0.0,0.0,0.0,1.0,False,True,False,-1.0683829778078386,0.10452911793420053,0.8621201947159811,9.949678645533068e-05,Dm_GLUT_confusion,9.949678645533068e-05,0.12,True,Dm_GLUT_confusion,9.949678645533068e-05,0.002575658943564707,0.5177074476565061,True,0.5177074476565061,0.9999999531006136,0.9380801404398125,0.002575658943564707,0.9869903944376146,0.10079173645366413,Dm_GLUT_confusion,0.8542072896355182,-1.0236162800803992,1.0,False,Dm_GLUT_confusion,9.949678645533068e-05,True,False,,
ORN_VA2,36,0.6500224216483541,SER,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,True,True,True,-2.179446906746253,0.6198815360056433,0.010503136206750776,0.9999999999971146,ORN_SER_confusion,0.010503136206750776,0.12,True,ORN_SER_confusion,0.010503136206750776,0.010236635800557892,0.6626300596164745,True,0.9780379822510362,0.6626300596164745,0.9380801404398125,0.9409847278302417,0.010236635800557892,0.21725793075205446,ORN_SER_confusion,0.9801509924503775,-2.2248851149987052,1.0,False,ORN_SER_confusion,0.010503136206750776,True,False,ACH,True
ORN_DA4m,23,0.4262286569981449,SER,0.9130434782608696,0.08695652173913043,0.0,0.0,0.0,0.9130434782608695,0.0,0.08695652173913043,True,True,True,-2.5329643755487887,0.7353564409886191,0.0015664976732422363,0.9999999999971145,ORN_SER_confusion,0.0015664976732422363,0.12,True,ORN_SER_confusion,0.0015664976732422363,0.010236635800557892,0.6626300596164745,True,0.9780379822510362,0.6626300596164745,0.9380801404398125,0.9409847278302417,0.010236635800557892,0.2237898196090372,ORN_SER_confusion,0.9936503174841258,-2.5292187288298513,1.0,False,ORN_SER_confusion,0.0015664976732422363,True,False,ACH,True
ORN_DA4l,32,0.3372900666170139,SER,0.9375,0.0625,0.0,0.0,0.0,0.9375,0.0,0.0625,True,True,True,-3.601273069695677,0.7789195550216887,9.204928943413321e-05,0.9999999999971145,ORN_SER_confusion,9.204928943413321e-05,0.12,True,ORN_SER_confusion,9.204928943413321e-05,0.010236635800557892,0.6626300596164745,True,0.9780379822510362,0.6626300596164745,0.9380801404398125,0.9409847278302417,0.010236635800557892,0.2237898196090372,ORN_SER_confusion,0.999550022498875,-3.5252287217977685,1.0,False,ORN_SER_confusion,9.204928943413321e-05,True,False,ACH,True
ORN_DM2,35,0.3159971329784246,SER,0.9428571428571428,0.05714285714285714,0.0,0.0,0.0,0.9428571428571428,0.0,0.05714285714285714,True,True,True,-3.619486432368349,0.7892418333670634,9.204928943413321e-05,0.9999999999971145,ORN_SER_confusion,9.204928943413321e-05,0.12,True,ORN_SER_confusion,9.204928943413321e-05,0.010236635800557892,0.6626300596164745,True,0.9780379822510362,0.6626300596164745,0.9380801404398125,0.9409847278302417,0.010236635800557892,0.2237898196090372,ORN_SER_confusion,0.9998000099995,-3.8075881536629157,1.0,False,ORN_SER_confusion,9.204928943413321e-05,True,False,ACH,True
ORN_DM3,41,0.1654270339962668,SER,0.975609756097561,0.024390243902439025,0.0,0.0,0.0,0.975609756097561,0.0,0.024390243902439025,True,True,True,-4.8857452214422095,0.8615605821919274,0.0050837398133915385,0.9999999999971145,ORN_SER_confusion,0.0050837398133915385,0.12,True,ORN_SER_confusion,0.0050837398133915385,0.010236635800557892,0.6626300596164745,True,0.9780379822510362,0.6626300596164745,0.9380801404398125,0.9409847278302417,0.010236635800557892,0.21725793075205446,ORN_SER_confusion,0.999950002499875,-4.863707766344021,1.0,False,ORN_SER_confusion,0.0050837398133915385,True,False,ACH,True
R7,474,1.6248866708525729,GLUT,0.4409282700421941,0.14556962025316456,0.3881856540084388,0.4409282700421941,0.006329113924050633,0.004219409282700422,0.014767932489451477,0.9746835443037976,True,True,True,7.799546946384396,0.18449398868052108,0.6185433280725545,0.10243428137117355,Dm_GLUT_confusion,0.10243428137117355,0.12,True,Dm_GLUT_confusion,0.10243428137117355,0.03313981535940158,0.9353203695817162,True,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.03313981535940158,0.9909948291760644,0.10748508138328461,Dm_GLUT_confusion,4.999750012499375e-05,7.711692758099586,0.020098995050247488,True,Dm_GLUT_confusion,0.10243428137117355,True,False,HIST,False
Dm20,62,0.8837342952634009,GABA,0.7580645161290323,0.016129032258064516,0.7580645161290323,0.22580645161290322,0.0,0.0,0.0,1.0,False,True,False,-1.5467209596326903,0.12497002603170976,0.8026409582176653,0.019370017041079633,Dm_GLUT_confusion,0.019370017041079633,0.12,True,Dm_GLUT_confusion,0.019370017041079633,0.023061364119460026,0.9353203695817162,True,0.9353203695817162,0.9999999531006136,0.9380801404398125,0.023061364119460026,0.984899019053179,0.14332261998204732,Dm_GLUT_confusion,0.9463026848657567,-1.5891371643479837,1.0,False,Dm_GLUT_confusion,0.019370017041079633,True,False,,
