fafb_cell_type,fafb_n,fafb_entropy,fafb_dominant_nt,fafb_dominant_frac,mcns_match,mcns_n,mcns_confirmed_nt,mcns_confirmed_frac,agrees_with_mcns,is_categorical_blindspot
CB1932,13,-0.0,ACH,1.0,CB1932,10,ACH,1.0,True,False
CB1094,12,-0.0,GLUT,1.0,CB1094,10,GLUT,1.0,True,False
CB1109,14,-0.0,ACH,1.0,CB1109,10,ACH,1.0,True,False
CB1154,14,-0.0,GLUT,1.0,CB1154,17,GLUT,1.0,True,False
CB1207,14,-0.0,ACH,1.0,"CB1207_a,CB1207_b",14,ACH,1.0,True,False
AOTU059,13,-0.0,GABA,1.0,AOTU059,11,GABA,1.0,True,False
CB1357,12,-0.0,ACH,1.0,CB1357,11,ACH,1.0,True,False
CB1359,10,-0.0,GLUT,1.0,CB1359,10,GLUT,1.0,True,False
CB1178,16,-0.0,GLUT,1.0,CB1178,21,GLUT,0.9047619047619048,True,False
LPLC2,208,-0.0,ACH,1.0,LPLC2,185,ACH,1.0,True,False
LPLC4,110,-0.0,ACH,1.0,LPLC4,97,ACH,1.0,True,False
LT51,22,-0.0,GLUT,1.0,LT51,22,GLUT,1.0,True,False
LT52,29,-0.0,GLUT,1.0,LT52,34,GLUT,1.0,True,False
AVLP069,13,-0.0,GLUT,1.0,"AVLP069_a,AVLP069_b,AVLP069_c",16,GLUT,1.0,True,False
LHPV5a1,15,-0.0,ACH,1.0,LHPV5a1,12,ACH,1.0,True,False
LHPV5b1,19,-0.0,ACH,1.0,LHPV5b1,20,ACH,1.0,True,False
LHPV5b2,13,-0.0,ACH,1.0,LHPV5b2,17,ACH,1.0,True,False
LHPV5b3,20,-0.0,ACH,1.0,LHPV5b3,14,ACH,1.0,True,False
LHPV5c1,29,-0.0,ACH,1.0,LHPV5c1,12,ACH,1.0,True,False
LLPC1,219,-0.0,ACH,1.0,LLPC1,285,ACH,1.0,True,False
LLPC2,234,-0.0,ACH,1.0,LLPC2,250,ACH,1.0,True,False
LPLC1,140,-0.0,ACH,1.0,LPLC1,134,ACH,1.0,True,False
LPC1,164,-0.0,ACH,1.0,LPC1,224,ACH,1.0,True,False
LPC2,111,-0.0,ACH,1.0,LPC2,154,ACH,1.0,True,False
LLPC3,204,-0.0,ACH,1.0,LLPC3,219,ACH,1.0,True,False
M_lPNm11D,11,-0.0,ACH,1.0,M_lPNm11D,12,ACH,1.0,True,False
M_vPNml53,13,-0.0,GABA,1.0,M_vPNml53,12,GABA,1.0,True,False
MeTu2a,70,-0.0,ACH,1.0,MeTu2a,69,ACH,1.0,True,False
MeTu3a,40,-0.0,ACH,1.0,MeTu3a,38,ACH,1.0,True,False
MeTu3b,96,-0.0,ACH,1.0,MeTu3b,83,ACH,1.0,True,False
MeTu3c,137,-0.0,ACH,1.0,MeTu3c,174,ACH,1.0,True,False
Li13,67,-0.0,GABA,1.0,Li13,65,GABA,1.0,True,False
Li14,26,-0.0,GABA,1.0,Li14,217,GLUT,1.0,False,False
Li15,32,-0.0,GABA,1.0,Li15,41,GABA,1.0,True,False
Li17,89,-0.0,GABA,1.0,Li17,22,GABA,1.0,True,False
Li18,32,-0.0,GABA,1.0,"Li18a,Li18b",80,GABA,1.0,True,False
Li21,18,-0.0,GABA,1.0,Li21,207,ACH,1.0,False,False
Li22,17,-0.0,GABA,1.0,Li22,232,GLUT,1.0,False,False
LAL094,12,-0.0,GLUT,1.0,LAL094,19,GLUT,1.0,True,False
LAL096,10,-0.0,GLUT,1.0,LAL096,16,GLUT,1.0,True,False
LAL110,10,-0.0,ACH,1.0,LAL110,10,ACH,1.0,True,False
LB1e,18,-0.0,ACH,1.0,LB1e,17,ACH,1.0,True,False
LC10b,83,-0.0,ACH,1.0,LC10b,95,ACH,1.0,True,False
LC10d,188,-0.0,ACH,1.0,LC10d,214,ACH,1.0,True,False
LC10e,101,-0.0,ACH,1.0,LC10e,107,ACH,1.0,True,False
LC11,127,-0.0,ACH,1.0,LC11,143,ACH,1.0,True,False
LHPV4g1,11,-0.0,GLUT,1.0,LHPV4g1,12,GLUT,1.0,True,False
LC14b,38,-0.0,ACH,1.0,LC14b,43,ACH,1.0,True,False
LC15,104,-0.0,ACH,1.0,LC15,126,ACH,1.0,True,False
LC17,201,-0.0,ACH,1.0,LC17,353,ACH,1.0,True,False
LC18,188,-0.0,ACH,1.0,LC18,208,ACH,1.0,True,False
LC19,15,-0.0,ACH,1.0,LC19,14,ACH,1.0,True,False
LC20a,37,-0.0,ACH,1.0,LC20a,62,ACH,1.0,True,False
LC21,130,-0.0,ACH,1.0,LC21,153,ACH,1.0,True,False
LC13,145,-0.0,ACH,1.0,LC13,177,ACH,1.0,True,False
HRN_VP4,29,-0.0,ACH,1.0,HRN_VP4,26,ACH,1.0,True,False
HRN_VP5,11,-0.0,ACH,1.0,HRN_VP5,12,ACH,1.0,True,False
IbSpsP,30,-0.0,ACH,1.0,IbSpsP,31,ACH,1.0,True,False
JO-mz,17,-0.0,ACH,1.0,JO-mz,18,ACH,1.0,True,False
KCab-p,128,-0.0,ACH,1.0,KCab-p,129,DA,1.0,False,False
KCg-d,295,-0.0,ACH,1.0,KCg-d,206,DA,0.9951456310679612,False,False
KCg-m,2189,-0.0,ACH,1.0,KCg-m,1342,DA,1.0,False,False
L2,1562,-0.0,ACH,1.0,L2,1778,ACH,1.0,True,False
LHAD1a2,13,-0.0,ACH,1.0,LHAD1a2,14,ACH,1.0,True,False
LHAD1b5,11,-0.0,ACH,1.0,LHAD1b5,12,ACH,1.0,True,False
LC22,89,-0.0,ACH,1.0,LC22,73,ACH,1.0,True,False
LHAV1a3,13,-0.0,ACH,1.0,LHAV1a3,12,ACH,1.0,True,False
LHAV1d2,10,-0.0,ACH,1.0,LHAV1d2,10,ACH,1.0,True,False
LHAV5a2_a3,11,-0.0,ACH,1.0,LHAV5a2_a3,11,ACH,1.0,True,False
LHPV4a10,10,-0.0,GLUT,1.0,LHPV4a10,12,GLUT,1.0,True,False
LC27,37,-0.0,ACH,1.0,LC27,46,ACH,1.0,True,False
LC29,43,-0.0,ACH,1.0,LC29,40,ACH,1.0,True,False
LC31a,35,-0.0,ACH,1.0,LC31a,32,ACH,1.0,True,False
LC31b,10,-0.0,ACH,1.0,LC31b,10,ACH,1.0,True,False
LC33,29,-0.0,GLUT,1.0,LC33,32,GLUT,1.0,True,False
LC34,14,-0.0,ACH,1.0,LC34,10,ACH,1.0,True,False
LC36,35,-0.0,ACH,1.0,LC36,32,ACH,1.0,True,False
LC37,18,-0.0,GLUT,1.0,LC37,15,GLUT,1.0,True,False
LC40,37,-0.0,ACH,1.0,LC40,34,ACH,1.0,True,False
LC41,12,-0.0,ACH,1.0,LC41,13,ACH,1.0,True,False
LC43,12,-0.0,ACH,1.0,LC43,14,ACH,1.0,True,False
LC46,14,-0.0,ACH,1.0,LC46b,10,ACH,1.0,True,False
LC6,120,-0.0,ACH,1.0,LC6,124,ACH,1.0,True,False
LC9,179,-0.0,ACH,1.0,LC9,219,ACH,1.0,True,False
LC4,103,-0.0,ACH,1.0,LC4,126,ACH,1.0,True,False
