fafb_cell_type,fafb_n,fafb_entropy,fafb_dominant_nt,fafb_dominant_frac,mcns_match,mcns_n,mcns_confirmed_nt,mcns_confirmed_frac,agrees_with_mcns,is_categorical_blindspot
Tm32,167,0.3027061893305607,GLUT,0.9461077844311376,Tm32,125,GLUT,1.0,True,False
T4d,1220,0.301201886956432,ACH,0.9565573770491804,T4d,1629,ACH,1.0,True,False
LC12,149,0.2805000563057208,ACH,0.959731543624161,LC12,498,ACH,1.0,True,False
Mi14,217,0.2698855118299763,GLUT,0.9585253456221198,Mi14,315,GLUT,0.9968253968253968,True,False
Tm40,23,0.2580186686648155,ACH,0.9565217391304348,Tm40,180,ACH,1.0,True,False
Lawf1,182,0.2579500271493309,ACH,0.9615384615384616,Lawf1,94,ACH,0.9787234042553191,True,False
ORN_VM6m,24,0.2498822928331854,ACH,0.9583333333333334,ORN_VM6m,21,ACH,1.0,True,False
T5d,1138,0.2388913378955883,ACH,0.9666080843585236,T5d,1552,ACH,1.0,True,False
FC2B,26,0.2351933818192414,ACH,0.9615384615384616,FC2B,27,ACH,1.0,True,False
Tm5c,533,0.2234183481482849,GLUT,0.9662288930581614,Tm5c,737,GLUT,1.0,True,False
LC16,117,0.2149782003277104,ACH,0.9658119658119658,LC16,182,ACH,1.0,True,False
ORN_DA2,30,0.2108423003185321,ACH,0.9666666666666668,ORN_DA2,47,ACH,1.0,True,False
FC2C,33,0.1959092708736049,ACH,0.9696969696969696,FC2C,47,ACH,1.0,True,False
TuBu09,34,0.1914332548141934,ACH,0.9705882352941176,TuBu09,21,ACH,1.0,True,False
ORN_DM3,41,0.1654270339962668,SER,0.975609756097561,ORN_DM3,49,ACH,1.0,False,False
LC20b,45,0.1537421803287618,GLUT,0.9777777777777776,LC20b,79,GLUT,1.0,True,False
TPMN1,48,0.1460942501201363,ACH,0.9791666666666666,TPMN1,47,ACH,1.0,True,False
Dm6,48,0.1460942501201363,GABA,0.9791666666666666,Dm6,62,GLUT,1.0,False,False
Lawf2,281,0.1417119071576711,ACH,0.98220640569395,Lawf2,59,ACH,0.9491525423728814,True,False
vDeltaA_a,52,0.1370994788998177,ACH,0.9807692307692308,vDeltaA_a,43,ACH,1.0,True,False
claw_tpGRN,53,0.1350362028021276,ACH,0.981132075471698,claw_tpGRN,46,ACH,1.0,True,False
aMe5,55,0.131106529582345,ACH,0.9818181818181818,aMe5,42,ACH,1.0,True,False
LC26,57,0.1274185117923587,ACH,0.9824561403508772,LC26,75,ACH,1.0,True,False
LC25,62,0.1191160266556483,GLUT,0.9838709677419356,LC25,56,GLUT,1.0,True,False
ORN_VM5d,67,0.111909908701684,ACH,0.9850746268656716,ORN_VM5d,82,ACH,1.0,True,False
ORN_VM4,70,0.1080231952636283,ACH,0.9857142857142858,ORN_VM4,50,ACH,1.0,True,False
TmY5a,1151,0.0993154929733503,GLUT,0.9887054735013032,TmY5a,1364,GLUT,1.0,True,False
Tm31,107,0.0764242930955477,GABA,0.9906542056074766,Tm31,120,GLUT,1.0,False,False
L5,1427,0.0728488946009994,ACH,0.99229152067274,L5,1769,ACH,1.0,True,False
Tm37,229,0.0722758116120631,ACH,0.9912663755458516,Tm37,558,GLUT,1.0,False,False
Dm10,479,0.0696495721898393,GABA,0.9916492693110648,Dm10,610,GABA,1.0,True,False
T4a,1375,0.0693870830624957,ACH,0.9927272727272728,T4a,1597,ACH,1.0,True,False
Tm36,278,0.0615570796631668,ACH,0.9928057553956836,Tm36,155,ACH,1.0,True,False
T5a,1393,0.0564936564751057,ACH,0.994256999282125,T5a,1575,ACH,1.0,True,False
T5c,1459,0.0520524255222436,ACH,0.9945167923235092,T5c,1639,ACH,1.0,True,False
Dm9,179,0.0498462202138721,ACH,0.994413407821229,Dm9,264,GLUT,0.9962121212121212,False,False
C3,1502,0.0401765858855493,GABA,0.996005326231691,C3,1777,GABA,1.0,True,False
LC10a,232,0.0400756995796872,ACH,0.9956896551724138,LC10a,275,ACH,1.0,True,False
MeTu1,242,0.0386717908637649,ACH,0.9958677685950412,MeTu1,249,ACH,1.0,True,False
T4b,1427,0.0300790999177059,ACH,0.9971969166082691,T4b,1598,ACH,1.0,True,False
L3,1379,0.0243738898315388,ACH,0.997824510514866,L3,1744,ACH,1.0,True,False
T5b,1414,0.0238473760719591,ACH,0.997878359264498,T5b,1625,ACH,1.0,True,False
TmY4,430,0.0236958349678206,ACH,0.9976744186046512,TmY4,559,ACH,1.0,True,False
Tm20,1459,0.0232048833878691,ACH,0.997943797121316,Tm20,1698,ACH,1.0,True,False
TmY10,446,0.0229640725550059,ACH,0.9977578475336324,TmY10,552,ACH,1.0,True,False
Mi1,1487,0.0209706762303368,ACH,0.9979825151311366,Mi1,1773,ACH,1.0,True,False
TmY3,726,0.0150764831002062,ACH,0.9986225895316804,TmY3,824,ACH,1.0,True,False
Tm9,1518,0.0145055340008581,ACH,0.9986824769433466,Tm9,1447,ACH,1.0,True,False
Mi4,1526,0.0144394344231132,GABA,0.9986893840104848,Mi4,1770,GABA,1.0,True,False
ORN_DL5,40,-0.0,ACH,1.0,ORN_DL5,42,ACH,1.0,True,False
ORN_DC4,22,-0.0,ACH,1.0,ORN_DC4,23,ACH,1.0,True,False
ORN_DL4,41,-0.0,SER,1.0,ORN_DL4,23,ACH,1.0,False,False
PFNm,81,-0.0,ACH,1.0,"PFNm_a,PFNm_b",47,ACH,1.0,True,False
PFNd,39,-0.0,ACH,1.0,PFNd,40,ACH,1.0,True,False
PFNa,54,-0.0,ACH,1.0,PFNa,58,ACH,1.0,True,False
ORN_DL2v,18,-0.0,ACH,1.0,ORN_DL2v,23,ACH,1.0,True,False
ORN_DL2d,14,-0.0,ACH,1.0,ORN_DL2d,15,ACH,1.0,True,False
PFL3,24,-0.0,ACH,1.0,PFL3,24,ACH,1.0,True,False
PFNv,21,-0.0,ACH,1.0,PFNv,20,ACH,1.0,True,False
ORN_DL1,67,-0.0,ACH,1.0,ORN_DL1,79,ACH,0.9873417721518988,True,False
ORN_DL3,68,-0.0,SER,1.0,ORN_DL3,45,ACH,1.0,False,False
PS087,18,-0.0,GLUT,1.0,PS087,18,GLUT,1.0,True,False
PS008,24,-0.0,GLUT,1.0,PS008_b,10,GLUT,1.0,True,False
PS005,19,-0.0,GLUT,1.0,"PS005_a,PS005_b,PS005_c,PS005_d,PS005_e,PS005_f",32,GLUT,1.0,True,False
PLP188,16,-0.0,ACH,1.0,PLP188,10,ACH,1.0,True,False
PLP182,16,-0.0,GLUT,1.0,PLP182,16,GLUT,1.0,True,False
MeTu4a,126,-0.0,ACH,1.0,MeTu4a,95,ACH,1.0,True,False
PFL2,12,-0.0,ACH,1.0,PFL2,12,ACH,1.0,True,False
MeTu4d,33,-0.0,ACH,1.0,MeTu4d,40,ACH,1.0,True,False
PLP115_b,22,-0.0,ACH,1.0,PLP115_b,16,ACH,1.0,True,False
Mi10,405,-0.0,ACH,1.0,Mi10,444,ACH,1.0,True,False
ORN_D,31,-0.0,ACH,1.0,ORN_D,28,ACH,1.0,True,False
ORN_DC2,20,-0.0,ACH,1.0,ORN_DC2,22,ACH,1.0,True,False
ORN_DC3,32,-0.0,ACH,1.0,ORN_DC3,34,ACH,1.0,True,False
MeTu4c,93,-0.0,ACH,1.0,MeTu4c,87,ACH,1.0,True,False
ORN_VA6,60,-0.0,ACH,1.0,ORN_VA6,62,ACH,1.0,True,False
PAM04,23,-0.0,DA,1.0,PAM04,32,DA,1.0,True,False
PAM02,13,-0.0,DA,1.0,PAM02,17,DA,1.0,True,False
ORN_VA7l,13,-0.0,ACH,1.0,ORN_VA7l,29,ACH,1.0,True,False
PAM01,28,-0.0,DA,1.0,PAM01,44,DA,1.0,True,False
ORN_VM7v,26,-0.0,ACH,1.0,ORN_VM7v,25,ACH,1.0,True,False
ORN_VM7d,33,-0.0,ACH,1.0,ORN_VM7d,36,ACH,1.0,True,False
ORN_VM6v,26,-0.0,ACH,1.0,ORN_VM6v,30,ACH,1.0,True,False
ORN_VM6l,17,-0.0,ACH,1.0,ORN_VM6l,11,ACH,1.0,True,False
PS096,11,-0.0,GABA,1.0,PS096,12,GABA,1.0,True,False
ORN_VM5v,23,-0.0,ACH,1.0,ORN_VM5v,34,ACH,1.0,True,False
ORN_VC1,26,-0.0,ACH,1.0,ORN_VC1,29,ACH,1.0,True,False
ORN_VC3,31,-0.0,ACH,1.0,ORN_VC3,30,ACH,1.0,True,False
ORN_VC4,23,-0.0,ACH,1.0,ORN_VC4,36,ACH,1.0,True,False
ORN_VC5,25,-0.0,ACH,1.0,ORN_VC5,31,ACH,1.0,True,False
PS209,10,-0.0,ACH,1.0,PS209,12,ACH,1.0,True,False
ORN_VL2a,71,-0.0,ACH,1.0,ORN_VL2a,80,ACH,1.0,True,False
ORN_VL2p,27,-0.0,ACH,1.0,ORN_VL2p,41,ACH,1.0,True,False
ORN_VM1,25,-0.0,ACH,1.0,ORN_VM1,31,ACH,1.0,True,False
ORN_VA7m,21,-0.0,ACH,1.0,ORN_VA7m,21,ACH,1.0,True,False
ORN_DM4,29,-0.0,ACH,1.0,ORN_DM4,31,ACH,1.0,True,False
