cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
Mi9,1193,3,0.6046549048915433,GLUT,0.8549874266554903,"{'GLUT': np.int64(1020), 'GABA': np.int64(172), 'ACH': np.int64(1)}"
LPi07,64,2,0.5858732928619205,GABA,0.859375,"{'GABA': np.int64(55), 'GLUT': np.int64(9)}"
ORN_DC1,22,2,0.5746356978376794,ACH,0.8636363636363636,"{'ACH': np.int64(19), 'SER': np.int64(3)}"
LPi02,74,2,0.5713549744279549,GLUT,0.8648648648648649,"{'GLUT': np.int64(64), 'GABA': np.int64(10)}"
Dm1,45,2,0.5665095065529053,GABA,0.8666666666666667,"{'GABA': np.int64(39), 'GLUT': np.int64(6)}"
Mi15,697,4,0.536388541555014,ACH,0.8852223816355811,"{'ACH': np.int64(617), 'GLUT': np.int64(78), 'SER': np.int64(1), 'GABA': np.int64(1)}"
SA_DMT_DMetaN_12,23,3,0.5131851787372753,ACH,0.9130434782608695,"{'ACH': np.int64(21), 'SER': np.int64(1), 'GLUT': np.int64(1)}"
Dm15,312,3,0.5012507930905181,GLUT,0.9006410256410257,"{'GLUT': np.int64(281), 'GABA': np.int64(29), 'ACH': np.int64(2)}"
hDeltaJ,28,2,0.49123734182433315,ACH,0.8928571428571429,"{'ACH': np.int64(25), 'SER': np.int64(3)}"
DmDRA1,37,3,0.4804334574529622,GLUT,0.918918918918919,"{'GLUT': np.int64(34), 'GABA': np.int64(2), 'ACH': np.int64(1)}"
ORN_DA1,102,2,0.4305518670104394,ACH,0.9117647058823529,"{'ACH': np.int64(93), 'SER': np.int64(9)}"
ORN_DA4m,23,2,0.4262286569981449,SER,0.9130434782608695,"{'SER': np.int64(21), 'ACH': np.int64(2)}"
LPi06,24,2,0.41381685030363374,GLUT,0.9166666666666666,"{'GLUT': np.int64(22), 'GABA': np.int64(2)}"
LC24,73,2,0.409855370318405,ACH,0.9178082191780822,"{'ACH': np.int64(67), 'GLUT': np.int64(6)}"
L4,1110,3,0.3976686342847273,ACH,0.9378378378378378,"{'ACH': np.int64(1041), 'GLUT': np.int64(38), 'GABA': np.int64(31)}"
Tm33,104,3,0.3956193268288006,GLUT,0.9326923076923077,"{'GLUT': np.int64(97), 'GABA': np.int64(6), 'ACH': np.int64(1)}"
Sm09,134,3,0.3890516114819449,GLUT,0.9328358208955224,"{'GLUT': np.int64(125), 'GABA': np.int64(8), 'ACH': np.int64(1)}"
Dm3q,622,4,0.38611167247097283,GLUT,0.932475884244373,"{'GLUT': np.int64(580), 'GABA': np.int64(39), 'ACH': np.int64(2), 'OCT': np.int64(1)}"
Sm15,101,3,0.38448813823925043,GLUT,0.9405940594059405,"{'GLUT': np.int64(95), 'ACH': np.int64(3), 'GABA': np.int64(3)}"
