root_id,nt_label,partner_Dm8b,partner_Dm8a,partner_Dm9,partner_MeTu3c,partner_R8,partner_Tm5b,partner_Dm11,partner_MeTu3b,partner_Tm5a,partner_L3,partner_DmDRA1,partner_Dm2,partner_Tm20,partner_MeTu2a,partner_Mi15,partner_Sm01,partner_Mi9,partner_aMe12,partner_MeTu3a,partner_Mi4,partner_Tm5d,partner_MeMe_e10,partner_MeTu2b,partner_Tm27,partner_Tm5c,partner_L1,partner_Dm4,partner_DmDRA2,partner_Mi1,partner_R7
720575940618818305,GLUT,0.3535714285714286,0.07857142857142857,0.21428571428571427,0.13214285714285715,0.03214285714285714,0.06785714285714285,0.0,0.0,0.0,0.025,0.0,0.025,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.0,0.0,0.02142857142857143,0.0,0.0,0.0
720575940618867101,GLUT,0.2814814814814815,0.044444444444444446,0.2814814814814815,0.18518518518518517,0.05925925925925926,0.05185185185185185,0.05185185185185185,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940619010117,GLUT,0.3983050847457627,0.07627118644067797,0.0,0.0,0.06779661016949153,0.1271186440677966,0.059322033898305086,0.0,0.0,0.0,0.0,0.059322033898305086,0.05084745762711865,0.0,0.0,0.05084745762711865,0.059322033898305086,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940619028737,ACH,0.0,0.0,0.19008264462809918,0.0,0.1487603305785124,0.0,0.0,0.0,0.0,0.0,0.33884297520661155,0.0,0.0,0.21487603305785125,0.05785123966942149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049586776859504134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940619045957,GLUT,0.17391304347826086,0.21739130434782608,0.21739130434782608,0.0,0.05652173913043478,0.06521739130434782,0.043478260869565216,0.0,0.08695652173913043,0.043478260869565216,0.0,0.021739130434782608,0.02608695652173913,0.0,0.0,0.02608695652173913,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940619144000,GLUT,0.0,0.0,0.14893617021276595,0.0,0.2765957446808511,0.0,0.0,0.0,0.0,0.07446808510638298,0.3191489361702128,0.05319148936170213,0.0,0.0,0.07446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940619203909,ACH,0.12140575079872204,0.0,0.30990415335463256,0.04472843450479233,0.06070287539936102,0.022364217252396165,0.0,0.07667731629392971,0.0,0.0,0.0,0.08306709265175719,0.054313099041533544,0.0,0.07028753993610223,0.0,0.025559105431309903,0.0,0.0,0.07348242811501597,0.0,0.0,0.0,0.0,0.0,0.019169329073482427,0.0,0.0,0.038338658146964855,0.0
720575940619219269,GABA,0.0,0.5979381443298969,0.0,0.09278350515463918,0.05154639175257732,0.0,0.0,0.061855670103092786,0.14432989690721648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05154639175257732,0.0,0.0,0.0,0.0
720575940619326262,GABA,0.4975124378109453,0.04975124378109453,0.024875621890547265,0.13432835820895522,0.05472636815920398,0.11940298507462686,0.0,0.0,0.0,0.03980099502487562,0.0,0.029850746268656716,0.0,0.0,0.0,0.024875621890547265,0.0,0.0,0.0,0.0,0.024875621890547265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720575940619408965,GLUT,0.19858156028368795,0.24113475177304963,0.07801418439716312,0.0,0.0425531914893617,0.04964539007092199,0.06382978723404255,0.0,0.09929078014184398,0.0,0.0,0.0425531914893617,0.07801418439716312,0.0,0.0,0.07092198581560284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03546099290780142,0.0,0.0,0.0
