cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
Tlp14,48,2,0.77655578544446,GLUT,0.7708333333333334,"{""GLUT"": 37, ""GABA"": 11}"
Sm17,13,3,0.7732283485249176,GABA,0.8461538461538461,"{""GABA"": 11, ""GLUT"": 1, ""ACH"": 1}"
ocellar_retinula_cell,125,3,0.7665188914976586,SER,0.848,"{""SER"": 106, ""ACH"": 10, ""GLUT"": 9}"
JO-A,32,2,0.7578784625383954,ACH,0.78125,"{""ACH"": 25, ""SER"": 7}"
Dm3v,474,3,0.7366993858060326,GLUT,0.8122362869198312,"{""GLUT"": 385, ""GABA"": 86, ""ACH"": 3}"
Dm8a,268,3,0.728591328781697,GLUT,0.8097014925373134,"{""GLUT"": 217, ""GABA"": 50, ""OCT"": 1}"
DNg08_a,10,2,0.7219280948873623,GLUT,0.8,"{""GLUT"": 8, ""GABA"": 2}"
BM_InOm,559,4,0.707971004095603,ACH,0.8604651162790697,"{""ACH"": 481, ""DA"": 60, ""SER"": 16, ""GLUT"": 2}"
ENS3,16,2,0.6962122601251458,SER,0.8125,"{""SER"": 13, ""ACH"": 3}"
TmY14,262,3,0.679249080722335,GLUT,0.8320610687022901,"{""GLUT"": 218, ""GABA"": 43, ""ACH"": 1}"
C2,1067,3,0.6585210121699702,GABA,0.8444236176194939,"{""GABA"": 901, ""ACH"": 160, ""GLUT"": 6}"
LPi04,72,2,0.6500224216483541,GLUT,0.8333333333333334,"{""GLUT"": 60, ""GABA"": 12}"
ORN_VA2,36,2,0.6500224216483541,SER,0.8333333333333334,"{""SER"": 30, ""ACH"": 6}"
MTe04,30,2,0.6500224216483541,ACH,0.8333333333333334,"{""ACH"": 25, ""GLUT"": 5}"
ORN_DA3,13,2,0.6193821946787638,SER,0.8461538461538461,"{""SER"": 11, ""ACH"": 2}"
ORN_VA1d,66,2,0.6136190195993708,ACH,0.8484848484848485,"{""ACH"": 56, ""SER"": 10}"
Mi9,1193,3,0.6046549048915433,GLUT,0.8549874266554903,"{""GLUT"": 1020, ""GABA"": 172, ""ACH"": 1}"
LPi07,64,2,0.5858732928619205,GABA,0.859375,"{""GABA"": 55, ""GLUT"": 9}"
ORN_DC1,22,2,0.5746356978376794,ACH,0.8636363636363636,"{""ACH"": 19, ""SER"": 3}"
LPi02,74,2,0.5713549744279549,GLUT,0.8648648648648649,"{""GLUT"": 64, ""GABA"": 10}"
