cell_type,n_neurons,entropy,dominant_nt,dominant_frac,p_ACH,p_GABA,p_GLUT,p_DA,p_SER,p_OCT,p_fast_transmitters,is_seed,already_name_matched,literature_confirmed,entropy_z,js_histamine_blindspot,js_ORN_SER_confusion,js_Dm_GLUT_confusion,best_pattern_heuristic,best_js_heuristic,pattern_threshold_heuristic,in_neighborhood_heuristic,best_pattern_calibrated,best_js_calibrated,best_p_calibrated,best_q_calibrated,significant,q_Dm_GLUT_confusion,q_ORN_SER_confusion,q_histamine_blindspot,p_Dm_GLUT_confusion,p_ORN_SER_confusion,p_histamine_blindspot,matched_patterns,entropy_p_value,entropy_z_reconstructed,entropy_q_value,entropy_channel_significant,best_pattern,best_js,in_neighborhood,is_novel_candidate,gt_verified_nt,gt_agrees_with_pattern
LPi09,83,0.9438767571287908,GABA,0.6385542168674698,0.0,0.6385542168674698,0.3614457831325301,0.0,0.0,0.0,1.0,False,False,False,-1.6361140580424511,0.11053085642436909,0.8603745824616036,0.001215475121429263,Dm_GLUT_confusion,0.001215475121429263,0.12,True,Dm_GLUT_confusion,0.001215475121429263,0.0108931499140833,0.6951810217896797,True,0.6951810217896797,0.999999993271446,0.9323647515728891,0.0108931499140833,0.9925110859838152,0.08699778258050139,Dm_GLUT_confusion,0.9395030248487576,-1.5933085799808249,1.0,False,Dm_GLUT_confusion,0.001215475121429263,True,True,,
CB1079,17,0.3227569588973982,GABA,0.9411764705882352,0.0,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0,1.0,False,False,False,-2.4314982128024774,0.29024447615191956,0.8453632546045612,0.011806561193372818,Dm_GLUT_confusion,0.011806561193372818,0.12,True,Dm_GLUT_confusion,0.011806561193372818,0.0108931499140833,0.6951810217896797,True,0.6951810217896797,0.999999993271446,0.9323647515728891,0.0108931499140833,0.990077526197672,0.40339949234587635,Dm_GLUT_confusion,0.9961501924903755,-2.47214933816789,1.0,False,Dm_GLUT_confusion,0.011806561193372818,True,True,,
TmY16,88,0.7927652363756528,GABA,0.7613636363636364,0.0,0.7613636363636364,0.23863636363636365,0.0,0.0,0.0,1.0,False,False,True,-2.904077417639652,0.15199025230522079,0.8535922843075833,0.0011019268186994568,Dm_GLUT_confusion,0.0011019268186994568,0.12,True,Dm_GLUT_confusion,0.0011019268186994568,0.00654543370497207,0.6951810217896797,True,0.6951810217896797,0.999999993271446,0.9323647515728891,0.00654543370497207,0.991571418566648,0.39717955424963625,Dm_GLUT_confusion,0.9962501874906254,-2.7919326204203894,1.0,False,Dm_GLUT_confusion,0.0011019268186994568,True,True,GLUT,True
Sm19,24,1.3965354233178195,ACH,0.5833333333333334,0.5833333333333334,0.20833333333333334,0.20833333333333334,0.0,0.0,0.0,1.0,False,False,False,1.135553342836008,0.031058327154165427,0.3784813438611033,0.3851227164618486,histamine_blindspot,0.031058327154165427,0.24906688471870347,True,histamine_blindspot,0.031058327154165427,0.0021849955847813574,0.9323647515728891,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.9426801979405459,0.9999156273396018,0.0021849955847813574,histamine_blindspot,0.1056447177641118,1.1685680750320402,1.0,False,histamine_blindspot,0.031058327154165427,True,True,,
AN_GNG_167,10,0.9709505944546686,GLUT,0.6,0.4,0.0,0.6,0.0,0.0,0.0,1.0,False,False,False,-0.0268771707002507,0.09361952269240559,0.5660482558299629,0.5136559484526693,histamine_blindspot,0.09361952269240559,0.24906688471870347,True,histamine_blindspot,0.09361952269240559,0.015228162797813694,0.9323647515728891,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.9934274025212914,0.9999999670299405,0.015228162797813694,histamine_blindspot,0.5012249387530624,-0.029001910967662966,1.0,False,histamine_blindspot,0.09361952269240559,True,True,,
SA_VTV_5,12,1.0,GLUT,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,False,False,False,-0.0798718785823672,0.06697938576004023,0.514175176860941,0.5532469514704534,histamine_blindspot,0.06697938576004023,0.24906688471870347,True,histamine_blindspot,0.06697938576004023,0.00654543370497207,0.9323647515728891,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.9940222780921418,0.9999999580051435,0.00654543370497207,histamine_blindspot,0.6053697315134243,-0.042018440360972034,1.0,False,histamine_blindspot,0.06697938576004023,True,True,,
SA_DMT_ADMN_11,10,0.4689955935892812,ACH,0.9,0.9,0.0,0.1,0.0,0.0,0.0,1.0,False,False,False,-1.347555894854527,0.02202636022256719,0.362797843991165,0.8193064930801908,histamine_blindspot,0.02202636022256719,0.24906688471870347,True,histamine_blindspot,0.02202636022256719,0.03244155279291405,0.9323647515728891,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.9948455455760126,0.9999124317767193,0.03244155279291405,histamine_blindspot,0.9608519574021299,-1.31416090780655,1.0,False,histamine_blindspot,0.02202636022256719,True,True,,
MTe04,30,0.6500224216483541,ACH,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,1.0,False,False,False,-2.072865303457774,0.018166017787131575,0.3837209741737022,0.752041902319692,histamine_blindspot,0.018166017787131575,0.24906688471870347,True,histamine_blindspot,0.018166017787131575,0.019550490941863008,0.9323647515728891,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.9947139487586575,0.9999124317767193,0.019550490941863008,histamine_blindspot,0.9793510324483776,-2.0637629498064203,1.0,False,histamine_blindspot,0.018166017787131575,True,True,,
Mi15,697,0.5363885415550139,ACH,0.8852223816355811,0.8852223816355811,0.0014347202295552368,0.11190817790530846,0.0,0.0014347202295552368,0.0,0.9985652797704448,False,False,False,-13.38230461589706,0.01430162644918561,0.3554566687388273,0.7985693010339217,histamine_blindspot,0.01430162644918561,0.24906688471870347,True,histamine_blindspot,0.01430162644918561,0.019550490941863008,0.9323647515728891,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.9948455455760126,0.9999124317767193,0.019550490941863008,histamine_blindspot,1.0,-13.670521814806442,1.0,False,histamine_blindspot,0.01430162644918561,True,True,"ACH,DA",False
Mi13,545,0.9242909795281408,GABA,0.6605504587155964,0.0,0.6605504587155964,0.3394495412844037,0.0,0.0,0.0,1.0,False,False,False,-4.922315762361852,0.11602318764297752,0.8590723093535988,0.0029624303677768145,Dm_GLUT_confusion,0.0029624303677768145,0.12,True,Dm_GLUT_confusion,0.0029624303677768145,0.019550490941863008,0.9803174743705594,True,0.9803174743705594,0.999999993271446,0.9323647515728891,0.019550490941863008,0.9921471739789096,0.08699778258050139,Dm_GLUT_confusion,1.0,-4.942746661951035,1.0,False,Dm_GLUT_confusion,0.0029624303677768145,True,True,,
WEDPN6B,14,0.9852281360342516,GLUT,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,1.0,False,False,False,-0.1605257150017877,0.09224790888269568,0.8755572697593219,0.020992458171250672,Dm_GLUT_confusion,0.020992458171250672,0.12,True,Dm_GLUT_confusion,0.020992458171250672,0.028157167353713874,0.9973537708425986,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.028157167353713874,0.992687287581675,0.10742212237371995,Dm_GLUT_confusion,0.5494225288735564,-0.15386909791742756,1.0,False,Dm_GLUT_confusion,0.020992458171250672,True,True,GABA,False
Sm22,29,0.9922666387194964,GLUT,0.5517241379310345,0.0,0.4482758620689655,0.5517241379310345,0.0,0.0,0.0,1.0,False,False,False,-0.4981258726763226,0.09147094649115284,0.8738612059914573,0.016417804866978476,Dm_GLUT_confusion,0.016417804866978476,0.12,True,Dm_GLUT_confusion,0.016417804866978476,0.028157167353713874,0.9973537708425986,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.028157167353713874,0.992687287581675,0.11147008842666772,Dm_GLUT_confusion,0.7456127193640318,-0.5497918768244099,1.0,False,Dm_GLUT_confusion,0.016417804866978476,True,True,,
PFGs,17,1.9039678130877664,SER,0.3529411764705882,0.11764705882352941,0.0,0.23529411764705882,0.29411764705882354,0.35294117647058826,0.0,0.3529411764705882,False,False,False,2.712171035633741,0.47591644598472554,0.33999042825645936,0.6974930901129877,ORN_SER_confusion,0.33999042825645936,0.12,False,ORN_SER_confusion,0.33999042825645936,0.04986481704893675,0.999999993271446,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.6975061450981321,0.04986481704893675,0.11952926731246094,ORN_SER_confusion,0.0006499675016249188,2.7778364099649453,0.22228888555572224,False,ORN_SER_confusion,0.33999042825645936,True,True,"ACH,SER",True
ENS5,10,0.9709505944546686,SER,0.6,0.0,0.0,0.0,0.0,0.6,0.4,0.0,False,False,False,-0.0895073684787129,0.9358667452251948,0.23645279765930666,0.9999999999971145,ORN_SER_confusion,0.23645279765930666,0.12,False,ORN_SER_confusion,0.23645279765930666,0.04986481704893675,0.999999993271446,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.5453313136450231,0.04986481704893675,0.18607375009562344,ORN_SER_confusion,0.5012249387530624,-0.029001910967662966,1.0,False,ORN_SER_confusion,0.23645279765930666,True,True,,
ORN_DM5,24,1.0,ACH,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,False,False,False,-0.3847421868154657,0.3173146787754337,0.003083453632639479,0.9999999999971145,ORN_SER_confusion,0.003083453632639479,0.12,True,ORN_SER_confusion,0.003083453632639479,0.021651986259598743,0.999999993271446,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.9754044605139015,0.021651986259598743,0.9263892572385165,ORN_SER_confusion,0.6845157742112894,-0.3992852489061548,1.0,False,ORN_SER_confusion,0.003083453632639479,True,True,ACH,True
SA_VTV_6,12,-0.0,SER,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,False,-2.7934743443582826,0.9409627085521443,0.0,0.999999999997836,ORN_SER_confusion,0.0,0.12,True,ORN_SER_confusion,0.0,0.03585127345068384,0.999999993271446,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.4603686337599264,0.03585127345068384,0.18988010205940187,ORN_SER_confusion,1.0,-2.8176556091474656,1.0,False,ORN_SER_confusion,0.0,True,True,,
CB4148,14,-0.0,SER,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,False,-3.136863917855875,0.9409627085521443,0.0,0.999999999997836,ORN_SER_confusion,0.0,0.12,True,ORN_SER_confusion,0.0,0.03585127345068384,0.999999993271446,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.4603686337599264,0.03585127345068384,0.18988010205940187,ORN_SER_confusion,1.0,-3.121904137849455,1.0,False,ORN_SER_confusion,0.0,True,True,,
hDeltaK,26,-0.0,SER,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,True,-4.526896347532055,0.9409627085521443,0.0,0.999999999997836,ORN_SER_confusion,0.0,0.12,True,ORN_SER_confusion,0.0,0.03585127345068384,0.999999993271446,True,0.9973537708425986,0.999999993271446,0.9323647515728891,0.4603686337599264,0.03585127345068384,0.18988010205940187,ORN_SER_confusion,1.0,-4.511794266868126,1.0,False,ORN_SER_confusion,0.0,True,True,ACH,True
